StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	State	Collected.By	X	X.1	Species	Subphylum	Genus	gluc_percent
yHKS854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS86	Lachancea kluyveri	Lachancea	Ascomycota	44.560833, -88.093161	44.560833	-88.093161	Tree	Plant Matter	Bark	NA	NA	NA	NA	Ulmus	Ulmus americana	American Elm	NA	NA	#33	a	YHKS_#33	30	 Howard, WI (Meadowbrook Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS86	Lachancea kluyveri	Saccharomycotina	Lachancea	NA
yHKS860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS87	Metschnikowia pulcherrima	Metschnikowia	Ascomycota	44.560833, -88.093161	44.560833	-88.093161	Tree	Plant Matter	Bark	NA	NA	NA	NA	Ulmus	Ulmus americana	American Elm	NA	NA	#33	b	YHKS_#33	30	 Howard, WI (Meadowbrook Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS87	Metschnikowia pulcherrima sp. complex	Saccharomycotina	Metschnikowia	NA
yHKS870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
yHKS88	Lachancea kluyveri	Lachancea	Ascomycota	45.084920, -87.586688	45.08492	-87.586688	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#35	a	YHKS_#35	30	 Marinette, WI (Red Arrow Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS88	Lachancea kluyveri	Saccharomycotina	Lachancea	NA
yHKS89	Metschnikowia pulcherrima	Metschnikowia	Ascomycota	45.084920, -87.586688	45.08492	-87.586688	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus sp.	Oak	NA	NA	#36b	b	YHKS_#36b	30	 Marinette, WI (Red Arrow Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS89	Metschnikowia pulcherrima sp. complex	Saccharomycotina	Metschnikowia	NA
yHKS9	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.219818, -88.185685	43.219818	-88.185685	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#5	a	YHKS_#5	30	 Richfield, WI (Minikani)	Wisconsin	Kayla Sylvester	TRUE	yHKS9	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	NA
yHKS90	Torulaspora delbrueckii	Torulaspora	Ascomycota	43.795677, -88.442040	43.795677	-88.44204	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#37	a	YHKS_#37	30	 Fon du Lac, WI (Lakeside Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS90	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	NA
yHKS91	Torulaspora delbrueckii	Torulaspora	Ascomycota	45.084920, -87.586688	45.08492	-87.586688	Tree	Plant Matter	Bark	NA	NA	NA	NA	Cercis	Cercis canadensis	Eastern Redbud	NA	NA	#40	a	YHKS_#40	30	 Marinette, WI (Red Arrow Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS91	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	NA
yHKS92	Metschnikowia pulcherrima	Metschnikowia	Ascomycota	45.084920, -87.586688	45.08492	-87.586688	Tree	Plant Matter	Bark	NA	NA	NA	NA	Cercis	Cercis canadensis	Eastern Redbud	NA	NA	#40	b	YHKS_#40	30	 Marinette, WI (Red Arrow Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS92	Metschnikowia pulcherrima sp. complex	Saccharomycotina	Metschnikowia	NA
yHKS94	Torulaspora delbrueckii	Torulaspora	Ascomycota	45.084920, -87.586688	45.08492	-87.586688	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	#38	a	YHKS_#38	30	 Marinette, WI (Red Arrow Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS94	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	NA
yHKS95	Pichia veronae	Pichia	Ascomycota	44.560833, -88.093161	44.560833	-88.093161	Tree	Plant Matter	Bark	NA	NA	NA	NA	Quercus	Quercus sp.	Oak	NA	NA	#31	a	YHKS_#31	30	 Howard, WI (Meadowbrook Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS95	Cyberlindnera veronae	Saccharomycotina	Cyberlindnera	NA
yHKS96	Lachancea kluyveri	Lachancea	Ascomycota	43.795677, -88.442040	43.795677	-88.44204	Tree	Soil	Soil	NA	NA	NA	NA	Cercis	Cercis canadensis	Eastern Redbud	NA	NA	#39	a	YHKS_#39	30	Fon du Lac, WI (Lakeside Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS96	Lachancea kluyveri	Saccharomycotina	Lachancea	NA
yHKS98	Metschnikowia pulcherrima	Metschnikowia	Ascomycota	43.795677, -88.442040	43.795677	-88.44204	Tree	Plant Matter	Bark	NA	NA	NA	NA	Cercis	Cercis canadensis	Eastern Redbud	NA	NA	#42	b	YHKS_#42	30	 Fon du Lac, WI (Lakeside Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS98	Metschnikowia pulcherrima sp. complex	Saccharomycotina	Metschnikowia	NA
yHMH1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH100	Kluyveromyces dobzhanskii	Kluyveromyces	Ascomycota	44.497314, -87.923358	44.497314	-87.923358	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	57	a	YHMH_57	10	Green Bay, Baird Creek, WI	Wisconsin	Max Haase	TRUE	YHMH100	Kluyveromyces dobzhanskii	Saccharomycotina	Kluyveromyces	0.8
YHMH102	Cryptococcus sp.	Cryptococcus	Basidiomycota	44.498089, -87.924478	44.498089	-87.924478	Tree	Plant Matter	Bark	NA	NA	NA	NA	Betula	Betula sp.	Birch	NA	NA	58	a	YHMH_58	10	Green Bay, Baird Creek, WI	Wisconsin	Max Haase	TRUE	YHMH102	Cryptococcus sp.	Basidiomycota	Cryptococcus	0.8
YHMH103	Cryptococcus flavescens	Cryptococcus	Basidiomycota	44.498089, -87.924478	44.498089	-87.924478	Tree	Plant Matter	Bark	NA	NA	NA	NA	Betula	Betula sp.	Birch	NA	NA	58	b	YHMH_58	10	Green Bay, Baird Creek, WI	Wisconsin	Max Haase	TRUE	YHMH103	Cryptococcus flavescens	Basidiomycota	Cryptococcus	0.8
YHMH105	Mrakia gelida	Mrakia	Basidiomycota	44.498357, -87.924178	44.498357	-87.924178	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	a	YHMH_59	10	Green Bay, Baird Creek, WI	Wisconsin	Max Haase	TRUE	YHMH105	Mrakia gelida	Basidiomycota	Mrakia	0.8
YHMH106	Mrakia blollopsis	Mrakia	Basidiomycota	44.498357, -87.924178	44.498357	-87.924178	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	b	YHMH_59	10	Green Bay, Baird Creek, WI	Wisconsin	Max Haase	TRUE	YHMH106	Mrakia blollopis	Basidiomycota	Mrakia	0.8
YHMH107	Metschnikowia zizyphicola	Metschnikowia	Ascomycota	44.499636, -87.925106	44.499636	-87.925106	Tree	Plant Matter	Bark	NA	NA	NA	NA	Quercus	Quercus sp.	Oak	NA	NA	60	a	YHMH_60	10	Green Bay, Baird Creek, WI	Wisconsin	Max Haase	TRUE	YHMH107	Metschnikowia pulcherrima sp. complex	Saccharomycotina	Metschnikowia	0.8
YHMH108	Rhodotorula nothofagi	Rhodotorula	Basidiomycota	42.944996, -89.583942	42.944996	-89.583942	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Bracket Fungus	NA	NA	47	a	YHMH_47	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH108	Rhodotorula nothofagi	Basidiomycota	Rhodotorula	0.8
YHMH109	Hyphopichia pseudoburtonii	Hyphopichia	Ascomycota	42.944996, -89.583942	42.944996	-89.583942	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Bracket Fungus	NA	NA	47	b	YHMH_47	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH109	Hyphopichia pseudoburtonii	Saccharomycotina	Hyphopichia	0.8
yHMH11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH110	Aureobasidium sp.	Aureobasidium	Ascomycota	44.499972, -87.922145	44.499972	-87.922145	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	61	a	YHMH_61	10	Green Bay, Baird Creek, WI	Wisconsin	Max Haase	TRUE	YHMH110	Aureobasidium sp.	Pezizomycotina	Aureobasidium	0.8
YHMH111	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.945676, -89.584782	42.945676	-89.584782	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	a	YHMH_50	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH111	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	0.8
YHMH112	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.945676, -89.584782	42.945676	-89.584782	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	b	YHMH_50	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH112	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	0.8
YHMH113	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.945676, -89.584782	42.945676	-89.584782	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	c	YHMH_50	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH113	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	0.8
YHMH114	Saccharomyces paradoxus	Saccharomyces	Ascomycota	42.943977, -89.583042	42.943977	-89.583042	Tree	Plant Matter	Bark	NA	NA	NA	NA	Quercus	Quercus sp.	Oak	NA	NA	45	a	YHMH_45	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH114	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	0.8
YHMH115	Saccharomyces paradoxus	Saccharomyces	Ascomycota	42.943977, -89.583042	42.943977	-89.583042	Tree	Plant Matter	Bark	NA	NA	NA	NA	Quercus	Quercus sp.	Oak	NA	NA	45	b	YHMH_45	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH115	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	0.8
YHMH116	Kluyveromyces lactis	Kluyveromyces	Ascomycota	42.945431, -89.584102	42.945431	-89.584102	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	a	YHMH_49	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH116	Kluyveromyces lactis	Saccharomycotina	Kluyveromyces	0.8
YHMH117	Saccharomyces paradoxus	Saccharomyces	Ascomycota	42.945431, -89.584102	42.945431	-89.584102	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	b	YHMH_49	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH117	Saccharomyces paradoxus	Saccharomycotina	Saccharomyces	0.8
YHMH118	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.945431, -89.584102	42.945431	-89.584102	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	c	YHMH_49	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH118	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	0.8
YHMH119	Rhodotorula nothofagi�	Rhodotorula	Basidiomycota	42.946040, -89.584093	42.94604	-89.584093	Tree	Plant Matter	Bark	NA	NA	NA	NA	Carya	Carya ovata	NA	NA	NA	51	b	YHMH_51	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH119	Rhodotorula nothofagi	Basidiomycota	Rhodotorula	0.8
yHMH12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH120	Rhodotorula nothofagi�	Rhodotorula	Basidiomycota	42.946040, -89.584094	42.94604	-89.584094	Tree	Plant Matter	Bark	NA	NA	NA	NA	Carya	Carya ovata	NA	NA	NA	51	a	YHMH_51	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH120	Rhodotorula nothofagi	Basidiomycota	Rhodotorula	0.8
YHMH121	Rhodotorula nothofagi�	Rhodotorula	Basidiomycota	42.946040, -89.584093	42.94604	-89.584093	Tree	Plant Matter	Bark	NA	NA	NA	NA	Carya	Carya ovata	NA	NA	NA	51	c	YHMH_51	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH121	Rhodotorula nothofagi	Basidiomycota	Rhodotorula	0.8
YHMH122	Leucosporidium scottii	Leucosporidium	Basidiomycota	44.500396, -87.927442	44.500396	-87.927442	Plant	Plant Matter	Leaves	NA	NA	NA	Dead	Unknown	Unknown	Unknown	NA	NA	62	a	YHMH_62	10	Green Bay, Baird Creek, WI	Wisconsin	Max Haase	TRUE	YHMH122	Leucosporidium scottii	Basidiomycota	Leucosporidium	0.8
YHMH123	Mrakia gelida	Mrakia	Basidiomycota	44.500396, -87.927442	44.500396	-87.927442	Plant	Plant Matter	Leaves	NA	NA	NA	Dead	Unknown	Unknown	Unknown	NA	NA	62	b	YHMH_62	10	Green Bay, Baird Creek, WI	Wisconsin	Max Haase	TRUE	YHMH123	Mrakia gelida	Basidiomycota	Mrakia	0.8
YHMH124	Cyberlindnera misumaiensis�	Cyberlindnera	Ascomycota	42.944453, -89.583534	42.944453	-89.583534	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	46	a	YHMH_46	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH124	Cyberlindnera misumaiensis	Saccharomycotina	Cyberlindnera	0.8
YHMH125	Cryptococcus carnescens	Cryptococcus	Basidiomycota	44.500476, -87.923862	44.500476	-87.923862	Tree	Plant Matter	Bark	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	63	a	YHMH_63	10	Green Bay, Baird Creek, WI	Wisconsin	Max Haase	TRUE	YHMH125	Cryptococcus carnescens	Basidiomycota	Cryptococcus	0.8
yHMH13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
YHMH219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
yHMH229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8
