IsoTemp	Yeast_sp	pval	Observed	Expected	Difference	BH_Padj
30	Wickerhamomyces onychis	0.2773	2	1.0388	0.9612	0.640986923076923
30	Candida tropicalis	0.2801	2	1.0433	0.9567	0.640986923076923
22	Nakazawaea anatomiae/populi sp. complex	0.2918	7	5.4773	1.5227	0.640986923076923
4	Teunomyces cretensis/kruisii complex	0.2978	2	1.1068	0.8932	0.640986923076923
10	Mrakiella aquatica	0.2984	2	1.0844	0.9156	0.640986923076923
10	Hanseniaspora sp.	0.3032	2	1.1049	0.8951	0.640986923076923
10	Kwoniella shandongensis	0.3032	2	1.1045	0.8955	0.640986923076923
22	Schwanniomyces polymorphus	0.3034	3	1.9446	1.0554	0.640986923076923
10	Rhodotorula babjevae	0.311	2	1.1088	0.8912	0.640986923076923
22	Cryptococcus heveanensis	0.3136	1	0.3136	0.6864	0.640986923076923
22	Kuraishia capsulata	0.3136	1	0.3136	0.6864	0.640986923076923
22	Nakazawaea sp.	0.3137	1	0.3137	0.6863	0.640986923076923
22	Tremella encephala	0.3141	1	0.3141	0.6859	0.640986923076923
22	Kwoniella newhampshirensis	0.3145	1	0.3145	0.6855	0.640986923076923
22	Isaria sp.	0.316	1	0.316	0.684	0.640986923076923
22	Candida friedrichii	0.3165	1	0.3165	0.6835	0.640986923076923
22	Kazachstania aerobia	0.3167	1	0.3167	0.6833	0.640986923076923
22	Rhodotorula paludigena	0.3172	1	0.3172	0.6828	0.640986923076923
22	Pichia sporocuriosa	0.3179	1	0.3179	0.6821	0.640986923076923
22	Pichia occidentalis	0.3184	1	0.3184	0.6816	0.640986923076923
22	Candida sorboxylosa	0.3185	1	0.3185	0.6815	0.640986923076923
22	Candida jaroonii	0.3187	1	0.3187	0.6813	0.640986923076923
22	Pichia cecembensis	0.3189	1	0.3189	0.6811	0.640986923076923
22	Kloeckera lindneri	0.3195	1	0.3195	0.6805	0.640986923076923
22	Talaromyces amestolkiae	0.3198	1	0.3198	0.6802	0.640986923076923
22	Vishniacozyma dimennae	0.3206	1	0.3206	0.6794	0.640986923076923
22	Phialemoniopsis ocularis	0.3211	1	0.3211	0.6789	0.640986923076923
22	Vanrija musci	0.322	1	0.322	0.678	0.640986923076923
22	Cadophora malorum	0.3222	1	0.3222	0.6778	0.640986923076923
22	Suhomyces vadensis	0.3222	1	0.3222	0.6778	0.640986923076923
22	Rhodotorula graminis	0.3225	1	0.3225	0.6775	0.640986923076923
22	Trichosporon moniliiforme	0.3226	1	0.3226	0.6774	0.640986923076923
22	Mrakia curviuscula	0.3227	1	0.3227	0.6773	0.640986923076923
22	Candida silvanorum	0.3228	1	0.3228	0.6772	0.640986923076923
22	Rhodosporidiobolus poonsookiae	0.3229	1	0.3229	0.6771	0.640986923076923
22	Suhomyces anneliseae	0.3233	1	0.3233	0.6767	0.640986923076923
22	Candida argentea	0.3235	1	0.3235	0.6765	0.640986923076923
22	Kwoniella pini	0.3235	1	0.3235	0.6765	0.640986923076923
22	Lachancea lanzarotensis	0.3235	1	0.3235	0.6765	0.640986923076923
22	Tremella moriformis	0.3235	1	0.3235	0.6765	0.640986923076923
22	Sugiyamaella novakii	0.3239	1	0.3239	0.6761	0.640986923076923
22	Hanseniaspora opuntiae	0.3263	1	0.3263	0.6737	0.640986923076923
22	Candida zeylanoides	0.3276	1	0.3276	0.6724	0.640986923076923
22	Candida pseudorhagii	0.331	1	0.331	0.669	0.640986923076923
30	Barnettozyma californica	0.3443	3	2.0808	0.9192	0.640986923076923
10	Hyphopichia pseudoburtonii	0.3552	1	0.3552	0.6448	0.640986923076923
10	Cystofilobasidium sp.	0.3557	1	0.3557	0.6443	0.640986923076923
10	Dothiora oleae	0.3609	1	0.3609	0.6391	0.640986923076923
10	Lachancea sp.	0.3617	1	0.3617	0.6383	0.640986923076923
10	Saturnispora dispora	0.3618	1	0.3618	0.6382	0.640986923076923
10	Candida montana	0.3622	1	0.3622	0.6378	0.640986923076923
10	Rhodosporidium babjevae	0.3632	1	0.3632	0.6368	0.640986923076923
10	Aureobasidium sp.	0.3633	1	0.3633	0.6367	0.640986923076923
10	Sporidiobolus salmonicolor	0.3634	1	0.3634	0.6366	0.640986923076923
10	Solicoccozyma aeria	0.3637	1	0.3637	0.6363	0.640986923076923
10	Rhodotorula araqucariae	0.3641	1	0.3641	0.6359	0.640986923076923
22	Kluyveromyces lactis	0.3644	12	10.5896	1.4104	0.640986923076923
10	Saccharomyces uvarum	0.3645	1	0.3645	0.6355	0.640986923076923
10	Cryptococcus carnescens	0.3646	1	0.3646	0.6354	0.640986923076923
10	Peterozyma toletana	0.3646	1	0.3646	0.6354	0.640986923076923
10	Cryptococcus cuniculi	0.3648	1	0.3648	0.6352	0.640986923076923
10	Holtermanniella festucosa	0.3648	1	0.3648	0.6352	0.640986923076923
10	Leucosporidium drummii	0.3654	1	0.3654	0.6346	0.640986923076923
10	Cystofilobasidium	0.3658	1	0.3658	0.6342	0.640986923076923
10	Saccharomycopsis sp.	0.3663	1	0.3663	0.6337	0.640986923076923
10	Cryptococcus tahquamenonensis	0.3666	1	0.3666	0.6334	0.640986923076923
10	Metschnikowia bicuspidata	0.3673	1	0.3673	0.6327	0.640986923076923
10	Candida derodonti	0.3679	1	0.3679	0.6321	0.640986923076923
10	Rhodosporidium sp.	0.3687	1	0.3687	0.6313	0.640986923076923
10	Mrakia psychrophila	0.3691	1	0.3691	0.6309	0.640986923076923
10	Oberwinklerozyma straminea	0.3691	1	0.3691	0.6309	0.640986923076923
10	Cephalosporium sp.	0.3697	1	0.3697	0.6303	0.640986923076923
10	Cryptococcus podzolicus	0.3703	1	0.3703	0.6297	0.640986923076923
10	Cryptococcus saitoi	0.3714	1	0.3714	0.6286	0.640986923076923
10	Trichosporon xylopini	0.3714	1	0.3714	0.6286	0.640986923076923
10	Cystofilobasidium mecerans	0.3717	1	0.3717	0.6283	0.640986923076923
10	Cystofilobasidium macarens	0.3727	1	0.3727	0.6273	0.640986923076923
10	Hanseniaspora valbyensis	0.3734	1	0.3734	0.6266	0.640986923076923
10	Leucosporidium creatinivora	0.3735	1	0.3735	0.6265	0.640986923076923
10	Candida californica	0.3736	1	0.3736	0.6264	0.640986923076923
10	Hypocrea lixii	0.3757	1	0.3757	0.6243	0.640986923076923
10	Rhodotorula nothofagii	0.3762	1	0.3762	0.6238	0.640986923076923
4	Leucosporidium scottii	0.3809	1	0.4656	0.5344	0.644717175572519
22	Rhodotorula glutinis	0.3813	2	1.2818	0.7182	0.644717175572519
22	Zygowilliopsis californica	0.3837	2	1.285	0.715	0.645442641509434
30	Metschnikowia viticola	0.3855	2	1.3017	0.6983	0.645442641509434
22	Candida tropicalis	0.3861	2	1.2822	0.7178	0.645442641509434
10	Nakazawaea holstii	0.3889	8	6.9515	1.0485	0.647679323308271
30	Rhodotorula mucilaginosa	0.3909	2	1.3131	0.6869	0.64857191011236
30	Geotrichum candidum	0.3933	2	1.309	0.691	0.650119029850746
4	Cryptococcus flavescens	0.3971	1	0.4991	0.5009	0.653960223048327
22	Saccharomyces cerevisiae	0.4076	9	8.0011	0.998900000000001	0.667605904059041
22	Meyerozyma caribbica	0.4084	7	6.0919	0.9081	0.667605904059041
30	Pichia fermentans	0.4101	5	4.1794	0.8206	0.667920220588235
10	Teunomyces cretensis/kruisii complex	0.4151	9	8.0831	0.9169	0.673587179487179
10	Candida santamariae	0.4312	4	3.2825	0.7175	0.695429454545454
4	Tausonia pullulans	0.4317	1	0.5468	0.4532	0.695429454545454
30	Starmerella bombicola	0.4473	1	0.5165	0.4835	0.710521908127209
30	Sugiyamaella smithiae	0.4494	1	0.5143	0.4857	0.710521908127209
30	Coniochaeta ligniaria	0.4497	1	0.5213	0.4787	0.710521908127209
30	Candida parapsilosis	0.4499	1	0.5208	0.4792	0.710521908127209
30	Naganishia albida	0.4501	1	0.5162	0.4838	0.710521908127209
30	Suhomyces bolitotheri	0.4527	4	3.386	0.614	0.710521908127209
30	Pichia terricola	0.4531	1	0.5229	0.4771	0.710521908127209
30	Wickerhamomyces hampshirensis	0.4539	1	0.5252	0.4748	0.710521908127209
30	Sugiyamaella lignohabitans	0.4573	1	0.5275	0.4725	0.711887108013937
30	Debaryomyces nepalensis	0.4607	1	0.532	0.468	0.711887108013937
30	Nakazawaea anatomiae/populi sp. complex	0.4612	5	4.4026	0.5974	0.711887108013937
30	Pichia scaptomyzae	0.4612	1	0.5248	0.4752	0.711887108013937
22	Wickerhamomyces anomalus	0.4681	7	6.3927	0.6073	0.720028819444444
10	Rhodotorula glutinis	0.4699	2	1.4678	0.5322	0.720296539792388
22	Rhodotorula nothofagi	0.4797	6	5.4508	0.5492	0.732783103448276
30	Schwanniomyces polymorphus	0.4857	2	1.5538	0.4462	0.739398969072165
10	Candida railenensis	0.4895	16	15.4356	0.564399999999999	0.74251638225256
22	Leotiomycetes sp.	0.4911	4	3.5347	0.4653	0.74251638225256
10	Teunomyces carpophila	0.5038	3	2.5611	0.4389	0.759127210884354
22	Candida albicans	0.5158	2	1.6111	0.3889	0.770564423076923
22	Metschnikowia reukaufii	0.5228	2	1.6188	0.3812	0.770564423076923
22	Candida melibiosica	0.5297	1	0.6369	0.3631	0.770564423076923
10	Cryptococcus flavescens	0.5305	4	3.6599	0.3401	0.770564423076923
22	Debaryomyces nepalensis	0.5305	1	0.632	0.368	0.770564423076923
22	Pichia scaptomyzae	0.5333	1	0.635	0.365	0.770564423076923
22	Papiliotrema wisconsinensis	0.534	1	0.6439	0.3561	0.770564423076923
22	Candida xestobii	0.5342	1	0.637	0.363	0.770564423076923
22	Sugiyamaella lignohabitans	0.5348	1	0.6363	0.3637	0.770564423076923
30	Hanseniaspora uvarum	0.5369	22	21.8871	0.1129	0.770564423076923
22	Kluyveromyces dobzhanskii	0.5373	7	6.7495	0.2505	0.770564423076923
22	Naganishia albida	0.5396	1	0.6439	0.3561	0.770564423076923
22	Cryptococcus musci	0.5398	1	0.6418	0.3582	0.770564423076923
22	Pichia terricola	0.5408	1	0.6423	0.3577	0.770564423076923
22	Kwoniella heveanensis	0.5422	1	0.6431	0.3569	0.770564423076923
22	Sugiyamaella smithiae	0.5423	1	0.6454	0.3546	0.770564423076923
22	Cryptococcus surugaensis	0.5426	1	0.6411	0.3589	0.770564423076923
22	Candida nitratophila	0.5427	1	0.6451	0.3549	0.770564423076923
22	Wickerhamomyces hampshirensis	0.5461	1	0.6552	0.3448	0.772914696485623
22	Candida coipomoensis	0.5479	1	0.6517	0.3483	0.772992675159236
22	Starmerella bombicola	0.552	1	0.6552	0.3448	0.776304761904762
22	Pichia manshurica	0.5703	4	3.8483	0.1517	0.792653571428571
22	Candida sp.	0.5742	4	3.8481	0.1519	0.792653571428571
4	Rhodotorula nothofagi	0.5864	1	0.8521	0.1479	0.792653571428571
