Specific	Species	pval	Observed	Expected	Difference	BH_Padj
Duff	Cystofilobasidium macarens	0.0361	1	0.0361	0.9639	0.174402027027027
Duff	Isaria sp.	0.0361	1	0.0361	0.9639	0.174402027027027
Pine Cone	Hanseniaspora sp.	0.0365	1	0.0366	0.9634	0.174516447368421
Duff	Candida intermedia	0.0369	1	0.0369	0.9631	0.174516447368421
Duff	Kazachstania martiniae	0.037	4	1.2836	2.7164	0.174516447368421
Fruit/Leaves	Nakazawaea molendini-olei	0.0371	1	0.0378	0.9622	0.174516447368421
Seed	Rhodosporidiobolus colostri	0.0378	1	0.0385	0.9615	0.176428571428571
Duff	Trichosporon japonicum	0.038	1	0.038	0.962	0.176428571428571
Soil	Candida pseudolambica	0.0389	5	2.2605	2.7395	0.178977707006369
Sand	Rhodotorula babjevae	0.0392	1	0.0393	0.9607	0.178977707006369
Soil/Grass/Twigs	Wickerhamomyces anomalus	0.0393	1	0.0399	0.9601	0.178977707006369
Soil	Barnettozyma californica	0.0403	5	2.2568	2.7432	0.180026785714286
Pine Cone	Kuraishia molischiana	0.0405	1	0.0408	0.9592	0.180026785714286
Twigs	Rhodotorula mucilaginosa	0.0409	1	0.0414	0.9586	0.180026785714286
Bark	Wickerhamomyces hampshirensis	0.0412	2	0.4069	1.5931	0.180026785714286
Leaves	Cystofilobasidium capitatum	0.0412	11	6.2015	4.7985	0.180026785714286
Leaves/Bark	Cryptococcus sp.	0.0415	1	0.0422	0.9578	0.180026785714286
Wood	Candida tropicalis	0.0418	1	0.0421	0.9579	0.180026785714286
Bark	Scheffersomyces cyptocercus	0.042	2	0.4041	1.5959	0.180026785714286
Duff	Coniochaeta hoffmannii	0.042	1	0.042	0.958	0.180026785714286
Twigs	Metschnikowia viticola	0.0421	1	0.0427	0.9573	0.180026785714286
Sand	Candida glabrata	0.0423	1	0.0429	0.9571	0.180026785714286
Grass	Wickerhamomyces anomalus	0.0439	1	0.0446	0.9554	0.185730769230769
Seed	Pichia kudriavzevii	0.0446	1	0.0458	0.9542	0.187582352941176
Fruit	Pichia kluyveri	0.0465	2	0.3698	1.6302	0.194429824561404
Bulb	Curvibasidium cygneicollum	0.0469	1	0.0474	0.9526	0.194888571428571
Leaves/Bark	Cryptococcus flavescens	0.0475	1	0.0482	0.9518	0.194888571428571
Flower/Leaves	Pichia manshurica	0.0476	1	0.0488	0.9512	0.194888571428571
Fruit	Candida pseudoglaebosa	0.0477	2	0.3654	1.6346	0.194888571428571
Pine Cone	Mrakiella cryoconiti	0.048	1	0.0488	0.9512	0.195
Pine Cone	Cyberlindnera veronae	0.0505	1	0.0512	0.9488	0.203654494382022
Nut	Suhomyces ambrosiae	0.0507	1	0.0514	0.9486	0.203654494382022
Seed	Hanseniaspora uvarum	0.0511	2	0.3742	1.6258	0.204114525139665
Humus	Mrakia blollopis	0.0526	1	0.0535	0.9465	0.208938888888889
Plant Matter	Aureobasidium pullulans	0.0532	2	0.3683	1.6317	0.210154696132597
Twigs	Papiliotrema flavescens	0.0537	1	0.055	0.945	0.210964285714286
Moss	Candida inconspicua	0.0545	1	0.0553	0.9447	0.212937158469945
Fruit/Leaves	Geotrichum candidum	0.0571	1	0.0588	0.9412	0.2179375
