Yeast_sp	Plant_genus	pval	Observed	Expected	Difference	BH_Padj
Suhomyces bolitotheri	Betula	0.0333	3	0.7401	2.2599	0.131996385542169
Pichia terricola	Ilex	0.0348	1	0.035	0.965	0.137116167664671
Geotrichum candidum	Rhamnus	0.0353	1	0.0356	0.9644	0.137405882352941
Metschnikowia pulcherrima sp. complex	Myrica	0.0354	1	0.0354	0.9646	0.137405882352941
Lachancea fermentati	Oxydendrum	0.0355	1	0.0363	0.9637	0.137405882352941
Debaryomyces hansenii	Abies	0.0373	1	0.0379	0.9621	0.14352865497076
Cryptococcus pinus	Vaccinium	0.0387	1	0.0393	0.9607	0.14805
Kwoniella shandongensis	Prunus	0.0392	1	0.0393	0.9607	0.14805
Saccharomyces cerevisiae	Oxydendrum	0.0397	1	0.0401	0.9599	0.14805
Cryptococcus victoriae	Equisetum	0.0399	1	0.0405	0.9595	0.14805
Saccharomyces cerevisiae	Hosta	0.0405	1	0.0411	0.9589	0.14805
Kazachstania martiniae	Juglans	0.0407	1	0.041	0.959	0.14805
Lachancea nothofagi	Picea	0.0407	1	0.0413	0.9587	0.14805
Tausonia pullulans	Arctostaphylos	0.0409	1	0.0412	0.9588	0.14805
Cystofilobasidium capitatum	Fraxinus	0.0413	3	0.7863	2.2137	0.14805
Candida albicans	Vaccinium	0.0415	1	0.042	0.958	0.14805
Nakazawaea holstii	Pseudotsuga	0.0428	1	0.0432	0.9568	0.14805
Candida sake	Zea	0.0437	1	0.0441	0.9559	0.14805
Lachancea quebecensis	Fraxinus	0.0442	1	0.0452	0.9548	0.14805
Pichia kluyveri	Rhamnus	0.0442	1	0.0446	0.9554	0.14805
Candida nitratophila	Pinus	0.0443	1	0.0443	0.9557	0.14805
Ogataea sp.	Malus	0.0444	1	0.0444	0.9556	0.14805
Curvibasidium cygneicollum	Betula	0.0446	4	1.3814	2.6186	0.14805
Krasilnikovozyma huempii	Malus	0.0448	1	0.0448	0.9552	0.14805
Kuraishia capsulata	Pinus	0.0448	1	0.0448	0.9552	0.14805
Pichia cecembensis	Malus	0.0449	1	0.0449	0.9551	0.14805
Trichosporon porosum	Festuca	0.0449	1	0.0454	0.9546	0.14805
Saccharomycopsis sp.	Pinus	0.0452	1	0.0452	0.9548	0.14805
Zygoascus meyerae/hellenicus	Pinus	0.0453	1	0.0453	0.9547	0.14805
Groenewaldozyma salmanticensis	Malus	0.0454	1	0.0454	0.9546	0.14805
Oberwinklerozyma straminea	Malus	0.0454	1	0.0454	0.9546	0.14805
Rhodotorula kratochvilovae	Malus	0.0455	1	0.0455	0.9545	0.14805
Cyberlindnera misumaiensis	Malus	0.0457	1	0.0457	0.9543	0.14805
Lachancea thermotolerans	Rhododendron	0.0462	2	0.3603	1.6397	0.14805
Sugiyamaella chiloensis	Pinus	0.0462	1	0.0462	0.9538	0.14805
Solicoccozyma aeria	Pinus	0.0463	1	0.0463	0.9537	0.14805
Trichosporon moniliiforme	Pinus	0.0463	1	0.0463	0.9537	0.14805
Lachancea fermentati	Liriodendron	0.0464	1	0.0471	0.9529	0.14805
Candida inconspicua	Malus	0.0469	1	0.0469	0.9531	0.14805
Geotrichum candidum	Prunus	0.047	1	0.0476	0.9524	0.14805
Metschnikowia viticola	Tsuga	0.047	1	0.0474	0.9526	0.14805
Hanseniaspora valbyensis	Pinus	0.0472	1	0.0472	0.9528	0.14805
Pichia manshurica	Rubus	0.0473	1	0.0476	0.9524	0.14805
Nakazawaea molendini-olei	Carya	0.0474	1	0.0484	0.9516	0.14805
Saccharomyces cerevisiae	Rubus	0.0475	2	0.3637	1.6363	0.14805
Cystofilobasidium	Malus	0.0476	1	0.0476	0.9524	0.14805
Mrakia frigida	Cercis	0.0477	1	0.0484	0.9516	0.14805
Cryptococcus podzolicus	Pinus	0.0485	1	0.0485	0.9515	0.14835462962963
Rhodotorula nothofagi	Rhus	0.0486	1	0.0498	0.9502	0.14835462962963
Starmerella bombicola	Rubus	0.0486	1	0.0491	0.9509	0.14835462962963
Rhodotorula mucilaginosa	Tsuga	0.0487	1	0.0497	0.9503	0.14835462962963
Aureobasidium pullulans	Rosa	0.0494	1	0.0502	0.9498	0.149793548387097
Candida pseudorhagii	Pinus	0.0501	1	0.0501	0.9499	0.151219266055046
Kluyveromyces dobzhanskii	Acer	0.0509	4	1.4634	2.5366	0.151575
Candida friedrichii	Pinus	0.0511	1	0.0511	0.9489	0.151575
Saccharomyces paradoxus	Diospryos	0.0512	1	0.052	0.948	0.151575
Cryptococcus gastricus	Quercus	0.0514	3	0.9237	2.0763	0.151575
Suhomyces ambrosiae	Prunus	0.0514	1	0.052	0.948	0.151575
Leucosporidium drummii	Pinus	0.0516	1	0.0516	0.9484	0.151575
Candida derodonti	Pinus	0.052	1	0.052	0.948	0.151980530973451
Piskurozyma taiwanensis	Populus	0.0522	1	0.0528	0.9472	0.151980530973451
Leotiomycetes sp.	Betula	0.0525	2	0.4035	1.5965	0.152180616740088
Candida norvegica	Fagus	0.0531	2	0.4161	1.5839	0.153244736842105
Saccharomyces eubayanus	Juniperus	0.0535	1	0.0543	0.9457	0.153724890829694
Kazachstania martiniae	Platanus	0.0543	1	0.0553	0.9447	0.154672727272727
Mrakia sp.	Betula	0.0543	9	5.0103	3.9897	0.154672727272727
Mrakia frigida	Ulmus	0.0552	1	0.0557	0.9443	0.155577966101695
Saccharomyces cerevisiae	Liriodendron	0.0552	1	0.0569	0.9431	0.155577966101695
Rhodotorula fujisanensis	Betula	0.0554	2	0.4052	1.5948	0.155577966101695
Mrakiella cryoconiti	Populus	0.0556	1	0.0563	0.9437	0.155577966101695
Mrakia blollopis	Amanita	0.0558	1	0.0569	0.9431	0.155577966101695
Cryptococcus flavescens	Malus	0.0563	2	0.4003	1.5997	0.15630970464135
Cyberlindnera saturnus	Quercus	0.057	4	1.5605	2.4395	0.157324279835391
Hanseniaspora osmophila	Picea	0.0572	1	0.0581	0.9419	0.157324279835391
Hanseniaspora sp.	Pyrus	0.0576	1	0.0585	0.9415	0.157324279835391
Candida railenensis	Gaultheria	0.0579	1	0.0586	0.9414	0.157324279835391
Curvibasidium cygneicollum	Tulipa	0.0579	1	0.0594	0.9406	0.157324279835391
Mrakia sp.	Fraxinus	0.0581	3	0.9337	2.0663	0.157324279835391
Pichia kluyveri	Ginkgo	0.0587	1	0.06	0.94	0.158080487804878
Zygowilliopsis californica	Thuja	0.059	1	0.0605	0.9395	0.158080487804878
Mrakia gelida	Symphoricarpos	0.0591	1	0.0599	0.9401	0.158080487804878
Lachancea kluyveri	Acer	0.0599	5	2.1899	2.8101	0.159193548387097
Kazachstania martiniae	Oxydendrum	0.06	1	0.0604	0.9396	0.159193548387097
Curvibasidium cygneicollum	Rhus	0.0616	1	0.0628	0.9372	0.162782329317269
Meyerozyma caribbica	Acer	0.062	3	0.9461	2.0539	0.163184
Rhodotorula mucilaginosa	Thuja	0.0646	1	0.0656	0.9344	0.169349800796813
Teunomyces cretensis/kruisii complex	Rhamnus	0.065	1	0.0666	0.9334	0.169722222222222
Lachancea nothofagi	Tsuga	0.0655	1	0.0678	0.9322	0.170351778656126
Rhodotorula fujisanensis	Salix	0.0663	1	0.0681	0.9319	0.171753543307087
Candida railenensis	Morus	0.0681	2	0.431	1.569	0.1752953125
Candida sake	Hosta	0.0682	1	0.0703	0.9297	0.1752953125
Hanseniaspora uvarum	Prunus	0.0687	2	0.4462	1.5538	0.175466666666667
Kazachstania serrabonitensis	Carya	0.0688	1	0.0711	0.9289	0.175466666666667
Nakazawaea holstii	Fagus	0.07	4	1.6402	2.3598	0.177837837837838
Pichia kudriavzevii	Prunus	0.0706	1	0.0732	0.9268	0.178672307692308
Torulaspora delbrueckii	Uknown	0.0722	1	0.0722	0.9278	0.181508679245283
Cryptococcus flavescens	Equisetum	0.0726	1	0.0754	0.9246	0.181508679245283
Hanseniaspora uvarum	Diospryos	0.0728	1	0.074	0.926	0.181508679245283
Candida santamariae	Vaccinium	0.073	1	0.0751	0.9249	0.181508679245283
Hanseniaspora uvarum	Ginkgo	0.0731	2	0.4589	1.5411	0.181508679245283
Kwoniella shandongensis	Rubus	0.074	1	0.0765	0.9235	0.183052631578947
Kazachstania martiniae	Liriodendron	0.0746	1	0.0769	0.9231	0.183650746268657
Pichia fermentans	Ginkgo	0.0748	1	0.0777	0.9223	0.183650746268657
Kluyveromyces marxianus	Rhododendron	0.0755	1	0.0774	0.9226	0.18468029739777
Rhodotorula nothofagi	Betula	0.0764	3	1.0361	1.9639	0.185997833935018
Leucosporidium scottii	Vaccinium	0.0769	1	0.0791	0.9209	0.185997833935018
Suhomyces anneliseae	Betula	0.0772	1	0.0772	0.9228	0.185997833935018
Curvibasidium cygneicollum	Rosa	0.0779	1	0.0799	0.9201	0.185997833935018
Rhodosporidiobolus colostri	Vaccinium	0.0781	1	0.0812	0.9188	0.185997833935018
Hanseniaspora osmophila	Salix	0.0782	1	0.081	0.919	0.185997833935018
Candida germanica	Populus	0.0783	1	0.0803	0.9197	0.185997833935018
Phaeoacremonium rubrigenum	Betula	0.0783	1	0.0783	0.9217	0.185997833935018
Candida railenensis	Gleditsia	0.0786	1	0.0811	0.9189	0.186038848920863
Pichia fermentans	Betula	0.0789	2	0.4808	1.5192	0.186079569892473
Hanseniaspora uvarum	Rhododendron	0.0792	2	0.4824	1.5176	0.18612
Kazachstania kunashirensis	Populus	0.0798	1	0.0819	0.9181	0.186779649122807
Hypocrea lixii	Betula	0.0805	1	0.0805	0.9195	0.186779649122807
Curvibasidium cygneicollum	Ailanthus	0.0806	1	0.0832	0.9168	0.186779649122807
Kwoniella newhampshirensis	Betula	0.0807	1	0.0807	0.9193	0.186779649122807
